id,title,company,location,job_type,salary,time_recorded,url
4dffc172b320a8bd,Scientific - Data Scientist 2,The United Solutions Group Inc. USG1,"Melbourne, FL",,Estimated $86.3K - $109K a year,2023-07-13 22:13:36,https://www.indeed.com/rc/clk?jk=4dffc172b320a8bd&fccid=dd616958bd9ddc12&vjs=3
9751cf1e55b63e7f,Principal Data Scientist,lucid technologies,"Raleigh, NC 27601 
(South Central area)",,,2023-07-13 22:13:42,https://www.indeed.com/company/Lucid-Technologies/jobs/Principal-Scientist-9751cf1e55b63e7f?fccid=286c6b679dae957b&vjs=3
dca943edc877e549,Sr. Data Scientist,Pinterest,Remote,,Estimated $171K - $216K a year,2023-07-13 22:13:46,https://www.indeed.com/rc/clk?jk=dca943edc877e549&fccid=43014b1412e0a7b6&vjs=3
af8a507f8e437f48,Data Scientist,National Research Center for College & University...,Remote,,Estimated $105K - $133K a year,2023-07-13 22:13:50,https://www.indeed.com/rc/clk?jk=af8a507f8e437f48&fccid=e6e8d7293a8073af&vjs=3
1d91bc2ba2d7717d,Data Scientist,Advanced Ionics Inc,"Milwaukee, WI 53216 
(Garden Homes area)",,,2023-07-13 22:13:56,https://www.indeed.com/rc/clk?jk=1d91bc2ba2d7717d&fccid=bf985ff1ace925cf&vjs=3
fe15e079537b2fb2,Data Scientist 2,USG 1,"Melbourne, FL 32901",,,2023-07-13 22:14:03,https://www.indeed.com/company/King-Global-Enterprise-Solutions/jobs/Data-Scientist-fe15e079537b2fb2?fccid=ecddbea19d3b747f&vjs=3
fd5252db9f4cf985,Associate Data Scientist,WALGREENS,"Deerfield, IL 60015",,,2023-07-13 22:14:10,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AkkitoYsT710tvHNh-j77zAVLD25tV7Cs0YozZUvlkdEUQJljV4yh6BdkAGsfgRzSmdQuMr3KImr97H96ku8QLhsgRrT8EqnH3qwYVnQpa4kRRsf1ilP6qIOsvCIhgFXm0QN7F-eatqEZy-6BNIxdRAj7vkYpi8UCePJxDUKo5vbh1CUR_yu9bbo-Jw-Ms11bY8GCLIIkzNSTf5Ami3-4Zoa5soa70chr6V4EaQHyELl7ZvfdlR6gN7dvosVN5QjxZQPinp8-5qbZxgLvwlcScqhdD7OeOoe8Rd06DgviwepGIgD0ReZvgzyWh3XZuJjsAvMmXb6Voa3a2TrHitPes5YKUnwbPEeKHwO9_Jf9267vKwUV_Sue44QCx6--OXuaDM9DNldeF6vadePv3e65SFrE2bz0cn-rIIhTma8jxD9cdRy94s7XPvODAYl05f-nzp_Jl5mQgKmJbNdlB16Vn&xkcb=SoBf-_M3NpSf7TAK4j0LbzkdCdPP&p=0&fvj=0&vjs=3
ff8c3db38b778cc8,Data Scientist,Citizens,"Johnston, RI 02919",,,2023-07-13 22:14:16,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DbY87xTe1ZMhhjQ9k8R965brWLRw8vo5R_taDvbDEPJneDMGAgXVmb9I_qojFW15qnzrqb5DCcwG7arSGRLsCwIzipPLla_J_mLTwGSaTsqpOA2X5wuRNcrfNkxQ8ddLYOnc5xSxWQwatZfaFv_vdwMjK6fzQFZvQyoBTF8tGxotDXwEB3NwmCS5ZPiORrzy1q0HjGUSMnNSRsiEH8YkJoOVYH9Gq7XRzVCWaKSTpNiGCWExcQ8HHOA65fDjLBsZXRUwHsppKN5PaAbPcgNmM5EhXcZ3DijHdv0PoIDSnqjgO6lkY8kx1aKxFgtxCkD86oo9x6lcHTy4Qu1FG_DpWO5JSWYZdoHaBvG7tCog7fbeWx6eJay5iyfXG0jx-PTGAa8c6pW3k0grs0jQhm0bvrAG_0JVArRwjG-VWBi3_4Dgz-G0IAF-H9zwjR__Hcud-t31D6j4JouZNJQ6nnB72V&xkcb=SoDr-_M3NpSf7TAK4j0KbzkdCdPP&p=1&fvj=0&vjs=3
af8117b4a53f3266,Senior Data Scientist - Behavioral Modeling,PlayStation Global,"Hybrid remote in San Mateo, CA",,Estimated $146K - $185K a year,2023-07-13 22:14:20,https://www.indeed.com/rc/clk?jk=af8117b4a53f3266&fccid=ad3f1759d3ff042b&vjs=3
fcde24b2f5435c63,DATA SCIENTIST,Durham County,"Durham, NC 27701",,,2023-07-13 22:14:26,https://www.indeed.com/rc/clk?jk=fcde24b2f5435c63&fccid=a8c3e2c2241a0216&vjs=3
a25d9dfa0551e89c,Data Scientist - NLP,Analytica,"Bethesda, MD 20814 
(Bethesda Center area)",,Estimated $117K - $148K a year,2023-07-13 22:14:30,https://www.indeed.com/rc/clk?jk=a25d9dfa0551e89c&fccid=148f97e0073dfbbd&vjs=3
36429b577f721cc4,Senior Product Data Scientist,PayPal,"San Jose, CA",,,2023-07-13 22:14:36,https://www.indeed.com/rc/clk?jk=36429b577f721cc4&fccid=978d9fd9799d55a8&vjs=3
6b1486f4b8b3b722,Data Scientist,TMPC,"Tampa, FL 33621 
(MacDill AFB area)",,Estimated $98.1K - $124K a year,2023-07-13 22:14:41,https://www.indeed.com/rc/clk?jk=6b1486f4b8b3b722&fccid=74be9e47f198ed60&vjs=3
