,id,title,company,location,job_type,salary,url
103,b03c1354d9983cbb,Data Analytics & AI/ML Developer,APPTOZA INC.,"Syracuse, NY",Full-time,"$85,000 - $100,000 a year",https://www.indeed.comhttps://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CE3i-xGI4I9OpWckzYv-8KBxSJXGo3ESvPoZ67meN8_uan52fLSo7AaI_X4kInyp6h7KPNOEeWb9t1-6JBGB5E3r8-P1iQaPgDs3frg7wktz7fXyOSTq0dUHez_uHF5Mef1EWSQLBHb289-8eYuKhoNdVTzpaZv51eTiFNdPEwjxgPBjk-vMSHnQzSua3CwENiSBg8Rhs44ePPClo7SbBpescPImyrCeoCXmZ8MDV-d6-9ZClZ_r2WLrL6f29DaKeqnUgKtENWEROk_6CAhulmaVMVMGKirfe0Zp0Z43rTw4FTJ27NEQi7r-_CnAqV5fHQef25ieybiqHd8yEesrpa8dQJVuHr9Az3Hzz9Cz39WRA-VjlArUF3l4O9j5uM6VT5EceBgOB0VxZ93EL7iHQHZNwzXILLsx0C75_XuM8162nW0CcBg0PTnWaqb-doZpb8DKSdTjEpRIUF3SfUZPO80NY7t3uIYlIm8KTlrC81OJlhfm_nQZiv0md7uiCwKI1XSi0alFq-jkYyiyZVb2dRA_Ifz8m3a-mYOz3-Fc5wsvgv-Zh8h7ou&xkcb=SoA_-_M3NXrRNdzA4R0GbzkdCdPP&p=13&fvj=1&vjs=3
104,62b3c9e802af73a7,Senior Statistical Data Analyst - Infectious Diseases,Washington University in St Louis,"St. Louis, MO 63110 
(Botanical Heights area)",Full-time,"$64,700 - $110,500 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=62b3c9e802af73a7&fccid=d9d52566d47ab815&vjs=3
105,209724a6a04771c4,Jr. Data Engineer,INADEV,Remote,Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=209724a6a04771c4&fccid=fa7b532d71fd974a&vjs=3
106,ef39a70a0d068e92,Data Team Lead,QinetiQ US,"Washington, DC",,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=ef39a70a0d068e92&fccid=dd616958bd9ddc12&vjs=3
107,9890b5593dc66ae9,Healthcare Statistician,Infectious Disease Solutions,"Hybrid remote in Homewood, IL 60430",Part-time,$30 - $35 an hour,https://www.indeed.comhttps://www.indeed.com/company/C.I.D./jobs/Statistician-9890b5593dc66ae9?fccid=8d9ddb08700e924e&vjs=3
108,b07203f68a7e65cc,Sr. Financial Data Analyst / Healthcare Economics - Medicare required,Alignment Healthcare,Remote,Full-time,"$100,000 - $115,000 a year",https://www.indeed.comhttps://www.indeed.com/company/Alignment-Healthcare/jobs/Senior-Data-Analyst-b07203f68a7e65cc?fccid=b671a434bbdb37f3&vjs=3
109,e461568eabb47daa,"Tech Excellence Data Engineer, Mid",Booz Allen Hamilton,"Hybrid remote in Norfolk, VA 23502",Full-time,"$58,300 - $133,000 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=e461568eabb47daa&fccid=4e041af1d0af1bc8&vjs=3
110,6e083bf705a30196,GIS Data Expert,QinetiQ US,"Washington, DC",,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=6e083bf705a30196&fccid=dd616958bd9ddc12&vjs=3
111,157325f3fef602b2,"Applied Scientist II, Books Tags",Amazon.com Services LLC,"Seattle, WA",Full-time,"From $136,000 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=157325f3fef602b2&fccid=fe2d21eef233e94a&vjs=3
112,c71ba65fc02aad1f,"Senior Director, Data Science and Threat Research - Remote",Akamai,Remote,,"$203,867 - $326,371 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=c71ba65fc02aad1f&fccid=2c20478fc1054b79&vjs=3
113,edab99fc67c40974,"Staff Systems Engineer, Machine Learning & Behaviors",Cruise,Remote,,"$140,800 - $207,100 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=edab99fc67c40974&fccid=3322e3b44a5a0777&vjs=3
114,bb3e156750dc535d,Senior Business & Data Analyst,Purchasing Power,"Hybrid remote in Atlanta, GA",Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=bb3e156750dc535d&fccid=a222c072e63e774d&vjs=3
115,ecb5f2fd4f0add4b,"Director, Data Science",RUE GILT GROUPE,"Hybrid remote in Boston, MA",,"$200,000 - $250,000 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=ecb5f2fd4f0add4b&fccid=c82361c512ff2aa1&vjs=3
116,6244011af36748af,Mathematical Statistician,US National Agricultural Statistics Service,"Remote in Wallops Island, VA",Full-time,"$69,107 - $128,043 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=6244011af36748af&fccid=dd616958bd9ddc12&vjs=3
117,5520c3e2ead5a65a,Artificial Intelligence Research Scientist - Sr Associate,"JPMorgan Chase Bank, N.A.","New York, NY",Full-time,"$133,000 - $195,000 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=5520c3e2ead5a65a&fccid=aaf3b433897ea465&vjs=3
118,a69699ea0d4b83f3,"Senior Scientist, Translational Data Science",Genmab,"Remote in Princeton, NJ 08540",Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=a69699ea0d4b83f3&fccid=b3a54ab9efec5428&vjs=3
119,6463a1735a5675e6,Senior Machine Learning Engineer,Peloton,"New York, NY 10011 
(Chelsea area)",,"$199,200 - $258,800 a year",https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=6463a1735a5675e6&fccid=8899ecbdba2d0a5e&vjs=3
120,393640bde7f5e98d,Manager Investment Data Science,Kforce,"Boston, MA 02110 
(Central area)",,"$140,000 - $180,000 a year",https://www.indeed.comhttps://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C5IatSLh_Ak1q39eQQoPIxD737RW9NeiYGvIRXkrLjEBkC4LI6KweFMaB7igpdWMk1TJ3ooGKICnp7EYD20hNybZCV5w9y8s1M415KlAaZJ8DbgFLwHDhid4NBEOAk0jFzfOVZaOQ-N1qbbFmyPpJHCVauKYdlnFdHdS0Xo7qNirbILUaCF-Xf-wyHeMCQu-0b3Oe7Q6VHwgSCeTt5YRBFuIZJbjVz6vsnwo4hJd-Fhbp2BOEl8hx3hvKkubGrbeMkqNacog-YiVYN4naxlOfxPt07KhJpC582y4hoUXBT2y60BWEovkdxXZsKq-BkSbgQsAohjnpYXRZ2uZ5PVE7fbVlrcpfcloWa0YSA7cevylMlM6FmiXucuZ2kSBDa6lcXUiaB9b7FjFfO7dKZ5fPJ5rjr6xyYo_rF4rEeF7HC-UU7_MDTGWfUcvAuW_wtW7uwqrXGDtX4aYyFlTG_zBE9v8UJ9cGMMvIKnhyxD_TIRAzfp3tLxcmSEj7-Zl1wYNfWj27OKexgzTtWA3I7CeoB1wx4uUmrelW3Z5hsxBSne_OLDpPbOFzgOiD7kjr34w-ERmk7gksKxPq8vGg6ZfvrUlQburTleP8R3RCUlWuB-UxiqEQtYe4NBb7OH8wLTVg=&xkcb=SoDi-_M3NXrrGY2Nqx0LbzkdCdPP&p=0&fvj=0&vjs=3
121,52745f2508997eab,Research Engineer - Machine Learning,Somosotech IT Co Limited,"Remote in San Francisco, CA 94103",Full-time,"$130,000 - $180,000 a year",https://www.indeed.comhttps://www.indeed.com/company/Somosotech-IT-Co-Limited/jobs/Machine-Learning-Engineer-52745f2508997eab?fccid=9f270b4ac4973530&vjs=3
122,71d69faace0eb768,Azure Spark Data Engineer( Remote),Cognizant Technology Solutions,"Remote in Long Beach, CA 90745",Full-time,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=71d69faace0eb768&fccid=2df6a1e69a70a1e7&vjs=3
123,c9ce1041be51a24f,"Partner Manager: Data, Identity, and Addressability",InMobi,"Remote in San Mateo, CA",,,https://www.indeed.comhttps://www.indeed.com/rc/clk?jk=c9ce1041be51a24f&fccid=fa9109382804a575&vjs=3
124,79d4c8488fd6391d,Machine Learning Research Engineer,Mirage Studio (YC S20),"New York, NY 10001 
(Chelsea area)",Full-time,"$125,000 - $180,000 a year",https://www.indeed.comhttps://www.indeed.com/company/Carrols-LLC/jobs/Machine-Learning-Engineer-79d4c8488fd6391d?fccid=3c3e07d06a785928&vjs=3
